SHOT,TIME,IP,RMAJOR,AMINOR,ELONG,TRIA,QA
10000,0.000000e+00,6.000000e+04,4.500000e-01,3.000000e-01,1.400000e+00,2.000000e-01,3.649658e+00
10000,1.000000e-05,6.017450e+04,4.500000e-01,3.000000e-01,1.400000e+00,2.000000e-01,3.639073e+00
10000,2.000000e-05,6.034900e+04,4.499999e-01,2.999999e-01,1.400000e+00,2.000000e-01,3.628549e+00
10000,3.000000e-05,6.052350e+04,4.499997e-01,2.999997e-01,1.400000e+00,2.000000e-01,3.618085e+00
10000,4.000000e-05,6.069799e+04,4.499995e-01,2.999995e-01,1.400000e+00,2.000000e-01,3.607680e+00
10000,5.000000e-05,6.087249e+04,4.499992e-01,2.999992e-01,1.400000e+00,2.000000e-01,3.597334e+00
10000,6.000000e-05,6.104698e+04,4.499988e-01,2.999988e-01,1.400000e+00,2.000000e-01,3.587046e+00
10000,7.000000e-05,6.122146e+04,4.499984e-01,2.999984e-01,1.400000e+00,2.000000e-01,3.576816e+00
10000,8.000000e-05,6.139595e+04,4.499979e-01,2.999979e-01,1.400000e+00,2.000000e-01,3.566643e+00
10000,9.000000e-05,6.157043e+04,4.499973e-01,2.999973e-01,1.400000e+00,2.000000e-01,3.556527e+00
10000,1.000000e-04,6.174490e+04,4.499967e-01,2.999967e-01,1.400000e+00,2.000000e-01,3.546467e+00
10000,1.100000e-04,6.191937e+04,4.499960e-01,2.999960e-01,1.400000e+00,2.000000e-01,3.536464e+00
10000,1.200000e-04,6.209383e+04,4.499953e-01,2.999953e-01,1.400000e+00,2.000000e-01,3.526516e+00
10000,1.300000e-04,6.226829e+04,4.499945e-01,2.999945e-01,1.400000e+00,2.000000e-01,3.516623e+00
10000,1.400000e-04,6.244274e+04,4.499936e-01,2.999936e-01,1.400000e+00,2.000000e-01,3.506784e+00
10000,1.500000e-04,6.261718e+04,4.499926e-01,2.999926e-01,1.400000e+00,2.000000e-01,3.497000e+00
10000,1.600000e-04,6.279161e+04,4.499916e-01,2.999916e-01,1.400000e+00,2.000000e-01,3.487270e+00
10000,1.700000e-04,6.296603e+04,4.499905e-01,2.999905e-01,1.400000e+00,2.000000e-01,3.477593e+00
10000,1.800000e-04,6.314044e+04,4.499894e-01,2.999894e-01,1.400000e+00,2.000000e-01,3.467969e+00
10000,1.900000e-04,6.331485e+04,4.499882e-01,2.999882e-01,1.400000e+00,2.000000e-01,3.458398e+00
10000,2.000000e-04,6.348924e+04,4.499869e-01,2.999869e-01,1.400000e+00,2.000000e-01,3.448879e+00
10000,2.100000e-04,6.366362e+04,4.499856e-01,2.999856e-01,1.400000e+00,2.000000e-01,3.439412e+00
10000,2.200000e-04,6.383799e+04,4.499841e-01,2.999841e-01,1.400000e+00,2.000000e-01,3.429996e+00
10000,2.300000e-04,6.401234e+04,4.499827e-01,2.999827e-01,1.400000e+00,2.000000e-01,3.420631e+00
10000,2.400000e-04,6.418669e+04,4.499811e-01,2.999811e-01,1.400000e+00,2.000000e-01,3.411316e+00
10000,2.500000e-04,6.436102e+04,4.499795e-01,2.999795e-01,1.400000e+00,2.000000e-01,3.402052e+00
10000,2.600000e-04,6.453533e+04,4.499779e-01,2.999779e-01,1.400000e+00,2.000000e-01,3.392837e+00
10000,2.700000e-04,6.470964e+04,4.499761e-01,2.999761e-01,1.400000e+00,2.000000e-01,3.383672e+00
10000,2.800000e-04,6.488392e+04,4.499743e-01,2.999743e-01,1.400000e+00,2.000000e-01,3.374556e+00
10000,2.900000e-04,6.505819e+04,4.499725e-01,2.999725e-01,1.400000e+00,2.000000e-01,3.365489e+00
10000,3.000000e-04,6.523245e+04,4.499705e-01,2.999705e-01,1.400000e+00,2.000000e-01,3.356470e+00
10000,3.100000e-04,6.540668e+04,4.499685e-01,2.999685e-01,1.400000e+00,2.000000e-01,3.347499e+00
10000,3.200000e-04,6.558090e+04,4.499665e-01,2.999665e-01,1.400000e+00,2.000000e-01,3.338576e+00
10000,3.300000e-04,6.575511e+04,4.499643e-01,2.999643e-01,1.400000e+00,2.000000e-01,3.329699e+00
10000,3.400000e-04,6.592929e+04,4.499621e-01,2.999621e-01,1.400000e+00,2.000000e-01,3.320870e+00
10000,3.500000e-04,6.610345e+04,4.499599e-01,2.999599e-01,1.400000e+00,2.000000e-01,3.312087e+00
10000,3.600000e-04,6.627760e+04,4.499575e-01,2.999575e-01,1.400000e+00,2.000000e-01,3.303351e+00
10000,3.700000e-04,6.645172e+04,4.499552e-01,2.999552e-01,1.400000e+00,2.000000e-01,3.294660e+00
10000,3.800000e-04,6.662582e+04,4.499527e-01,2.999527e-01,1.400000e+00,2.000000e-01,3.286014e+00
10000,3.900000e-04,6.679990e+04,4.499502e-01,2.999502e-01,1.400000e+00,2.000000e-01,3.277414e+00
