,PRED,SIGMA
0,118.002174,49.9344
1,118.84705,50.54701
2,119.72472,51.178005
3,120.62019,51.83018
4,121.534294,52.487495
5,122.45607,53.124077
6,123.38751,53.773685
7,124.28012,54.37853
8,125.15176,54.940758
9,125.989746,55.47573
10,126.81369,55.998177
11,127.61322,56.464832
12,128.409,56.926548
13,129.19727,57.384518
14,129.98213,57.839268
15,130.76549,58.29225
16,131.54315,58.743095
17,132.31592,59.197113
18,133.12115,59.642124
19,133.94615,60.07498
20,134.7781,60.501625
21,135.61093,60.90135
22,136.43924,61.281567
23,137.28024,61.651295
24,138.1206,61.98764
25,138.9726,62.31205
26,139.84236,62.621433
27,140.71948,62.917255
28,141.62192,63.20696
29,142.56384,63.49636
30,143.5202,63.7977
31,144.4796,64.13323
32,145.48811,64.500015
33,146.56306,64.88216
34,147.66103,65.23916
35,148.79118,65.49792
36,149.6903,65.43482
37,150.16818,64.84271
38,149.8616,63.370926
39,148.96243,61.37081
40,148.96632,60.612015
41,149.86726,60.95161
42,150.98105,61.620544
43,152.03271,62.27526
44,152.86859,62.812016
45,153.45963,63.17907
46,153.93167,63.478046
47,154.46681,63.82153
48,154.95609,64.113335
49,155.40681,64.30901
50,155.65646,64.32203
51,155.4743,63.997303
52,155.08414,63.489117
53,154.86368,63.108135
54,154.86879,62.88173
55,154.97964,62.72975
56,155.16339,62.626293
57,155.36707,62.51369
58,155.57574,62.3859
59,155.75464,62.247833
60,155.90668,62.098156
61,156.04361,61.947342
62,156.16736,61.779697
63,156.28152,61.605976
64,156.36877,61.42297
65,156.4313,61.227196
66,156.46976,61.016563
67,156.47388,60.783775
68,156.46931,60.5363
69,156.44475,60.276276
70,156.41614,59.981525
71,156.56737,59.793686
72,158.07385,60.569515
73,158.5145,60.542675
74,158.46518,60.091766
75,158.51146,59.661762
76,158.67226,59.292816
77,158.93011,58.931694
78,159.27731,58.552536
79,159.72862,58.179928
80,160.2663,57.83348
81,160.80566,57.513626
82,161.3457,57.205574
83,161.85278,56.86479
84,162.37659,56.521
85,162.89879,56.21608
86,163.48341,55.8558
87,164.07678,55.504868
88,164.6593,55.181343
89,165.24149,54.868256
90,165.8197,54.5707
91,166.40051,54.29615
92,167.04126,54.02675
93,167.73221,53.68229
94,168.4523,53.298515
95,169.16313,52.93708
96,169.88991,52.563583
97,170.63297,52.173943
98,171.41525,51.732574
99,172.2091,51.30465
100,173.14722,50.94255
101,174.18898,50.603683
102,175.28345,50.244953
103,176.38458,49.919285
104,177.47287,49.615833
105,178.57861,49.300377
106,179.6497,49.018684
107,180.70657,48.77006
108,181.76476,48.533936
109,182.7915,48.311268
110,183.7827,48.091167
111,184.72272,47.883057
112,185.63965,47.64268
113,186.5224,47.366364
114,187.36087,47.052185
115,188.1428,46.699543
116,188.8684,46.303127
117,189.57404,45.802235
118,190.26788,45.19942
119,190.84622,44.603607
120,191.35622,43.95631
121,191.8166,43.281254
122,192.30405,42.63681
123,192.8179,41.98505
124,193.28302,41.368076
125,193.76001,40.814114
126,194.29395,40.21676
127,194.86465,39.70367
128,195.5478,39.337543
129,196.02492,38.841057
130,196.04462,38.075027
131,195.69414,37.204445
132,195.42943,36.53919
133,195.54521,36.122894
134,195.98663,35.79256
135,196.54941,35.540188
136,197.18881,35.19184
137,197.8044,34.70922
138,198.27592,34.115
139,198.5564,33.36084
140,198.6411,32.437836
141,198.58583,31.468891
142,198.5176,30.596468
143,198.5171,29.863565
144,198.68849,29.297071
145,199.07166,28.865562
146,199.52957,28.504923
147,200.02953,28.211596
148,200.55907,27.9502
149,201.07776,27.703253
150,201.60904,27.476038
151,202.1527,27.275373
152,202.6993,27.10729
153,203.21625,26.983015
154,203.70459,26.91388
155,204.16989,26.86754
156,204.60953,26.843788
157,205.01782,26.84078
158,205.39545,26.860401
159,205.71793,26.895344
160,205.99617,26.946342
161,206.24533,27.013163
162,206.47278,27.094357
163,206.68304,27.186357
164,206.91565,27.32649
165,207.2119,27.568981
166,207.49626,27.813532
167,207.77708,28.061571
168,208.07585,28.316868
169,208.39084,28.584673
170,208.70876,28.853363
171,209.05087,29.12418
172,209.42474,29.376303
173,209.80806,29.65214
174,210.17703,29.923748
175,210.53375,30.19114
176,210.87926,30.459637
177,211.26418,30.746681
178,211.64737,31.029099
179,211.99872,31.316349
180,212.34738,31.670553
181,212.69713,32.05729
182,213.05069,32.451397
183,213.48312,32.917034
184,214.12985,33.50711
185,215.03447,34.26115
186,216.26334,35.252018
187,217.32556,36.206753
188,218.02756,36.86349
189,218.655,37.372143
190,219.3306,37.80589
191,220.00064,38.154823
192,220.61958,38.39831
193,221.15915,38.526077
194,221.5617,38.575684
195,221.84769,38.502132
196,222.23367,38.56412
197,222.6395,38.64066
198,223.05368,38.706783
199,223.51413,38.801075
200,224.0358,38.932552
201,224.61482,39.0214
202,225.20941,39.141617
203,225.80362,39.27554
204,226.40619,39.40837
205,227.01907,39.55301
206,227.64244,39.69848
207,228.31696,39.785007
208,229.00607,39.83938
209,229.63916,39.87407
210,230.26889,39.915882
211,230.896,39.970535
212,231.52066,40.03511
213,232.15277,40.096962
214,232.77643,40.172794
215,233.37277,40.281803
216,233.95496,40.408592
217,234.52313,40.552475
218,235.07088,40.719936
219,235.60559,40.90345
220,236.12335,41.1077
221,236.60965,41.344604
222,237.08093,41.59795
223,237.53609,41.86847
224,237.95294,42.174698
225,238.3455,42.505707
226,238.7193,42.85167
227,239.0794,43.213654
228,239.42221,43.590145
229,239.74881,43.979115
230,240.06036,44.380352
231,240.35773,44.795544
232,240.63815,45.22186
233,240.90817,45.653885
234,241.16351,46.094414
235,241.40303,46.54532
236,241.63533,47.00613
237,241.86899,47.45484
238,242.09035,47.890244
239,242.29039,48.288414
240,242.50772,48.651783
241,242.74179,48.98111
242,243.02222,49.244907
243,243.4126,49.37206
244,244.08102,49.18313
245,245.48001,48.235546
246,248.40466,45.91408
247,252.68167,42.978725
248,256.53528,41.2263
249,260.04007,40.46758
250,262.16684,40.51592
251,263.8683,40.824482
252,265.31296,41.275425
253,266.70947,41.84197
254,268.4519,42.640354
255,270.39325,43.70334
256,271.95074,44.748005
257,273.0043,45.59088
258,273.69037,46.2364
259,274.1547,46.746902
260,274.48248,47.17644
261,274.72974,47.553383
262,274.92084,47.900974
263,275.07437,48.23587
264,275.1941,48.56493
265,275.29425,48.89849
266,275.3764,49.231037
267,275.47192,49.51944
268,275.54602,49.825512
269,275.59744,50.151535
270,275.62085,50.50469
271,275.6244,50.876045
272,275.61203,51.261738
273,275.60022,51.649574
274,275.5705,52.05536
275,275.54306,52.452885
276,275.524,52.83504
277,275.517,53.196663
278,275.52435,53.533146
279,275.54584,53.842083
280,275.5829,54.125793
281,275.6348,54.385124
282,275.69632,54.616516
283,275.7645,54.829773
284,275.90076,54.997444
285,276.09085,55.113884
286,276.32178,55.18182
287,276.56458,55.237988
288,276.8153,55.280964
289,277.0735,55.31184
290,277.33853,55.330902
291,277.6114,55.341305
292,277.89777,55.354668
293,278.24704,55.43079
294,278.59787,55.498917
295,278.9505,55.559284
296,279.30374,55.612553
297,279.65698,55.65908
298,280.00977,55.699203
299,280.36176,55.73316
300,280.71423,55.762188
301,281.06366,55.78748
302,281.4131,55.804615
303,281.76193,55.813633
304,282.10852,55.817142
305,282.4523,55.815178
306,282.77914,55.827877
307,283.12186,55.80807
308,283.48798,55.74513
309,283.8489,55.67696
310,284.20316,55.601875
311,284.55685,55.524952
312,284.93317,55.47691
313,285.31177,55.43097
314,285.6858,55.380924
315,286.0554,55.32679
316,286.4291,55.275383
317,286.804,55.2276
318,287.16946,55.17465
319,287.53055,55.120293
320,287.88687,55.06317
321,288.23846,55.00536
322,288.67627,55.017586
323,289.21576,55.14045
324,289.7633,55.258144
325,290.3451,55.333065
326,290.94638,55.386242
327,291.54602,55.44727
328,292.1429,55.51722
329,292.73685,55.593742
330,293.32855,55.67517
331,293.9156,55.760242
332,294.49704,55.84912
333,295.07227,55.942905
334,295.63925,56.041348
335,296.19574,56.144398
336,296.74023,56.251102
337,297.27002,56.36135
338,297.78055,56.47755
339,298.25876,56.588997
340,298.69687,56.695103
341,299.0978,56.821213
342,299.4636,56.964687
343,299.78607,57.128334
344,300.04962,57.33247
345,300.24057,57.601223
346,300.3446,57.947117
347,300.3675,58.36041
348,300.41925,58.78133
349,300.5482,59.174946
350,300.72278,59.553196
351,300.95605,59.94737
352,301.25473,60.33247
353,301.563,60.70662
354,301.87076,61.084244
355,302.18317,61.463314
356,302.50198,61.837296
357,302.82245,62.216488
358,303.15918,62.581657
359,303.5078,62.936222
360,303.8716,63.276062
361,304.25595,63.59502
362,304.6561,63.89884
363,305.0763,64.18128
364,305.51392,64.44626
365,305.96185,64.70183
366,306.4172,64.94834
367,306.8789,65.18684
368,307.34686,65.41901
369,307.81848,65.64493
370,308.2926,65.86542
371,308.7857,66.06709
372,309.2826,66.26243
373,309.7792,66.454384
374,310.2749,66.64352
375,310.76917,66.83028
376,311.26093,67.01557
377,311.7505,67.19908
378,312.2405,67.37775
379,312.7297,67.55269
380,313.21838,67.72781
381,313.7032,67.90059
382,314.1809,68.07385
383,314.62787,68.274925
384,315.07187,68.47426
385,315.51288,68.67165
386,315.9509,68.86707
387,316.3861,69.06015
388,316.81174,69.25636
389,317.233,69.45145
390,317.65686,69.6383
391,318.0775,69.823
392,318.49466,70.005646
393,318.90015,70.1926
394,319.3042,70.375755
395,319.70752,70.55442
396,320.1095,70.72857
397,320.50632,70.902
398,320.89938,71.07391
399,321.2896,71.24316
400,321.67484,71.41121
401,322.05423,71.57793
402,322.4284,71.743744
403,322.79745,71.90886
404,323.16113,72.07309
405,323.5188,72.23719
406,323.86963,72.40182
407,324.21457,72.56593
408,324.55353,72.72973
